de	the
afwezigheid	absence
dorst	thirst
smelten	to melt
kil	chilly
loeren	to peek
verpleegster	nurse
kletsen	to chat
hullen	to wrap
hoesten	to cough
ongewoon	unusual
openstaan	to be open
schrapen	to scrape
schijn	appearance
long	lung
verdragen	to bear
gebed	prayer
eraf	off
roeren	to stir
aanrecht	kitchen sink
onderbroek	underpants
verbeelden (zich)	to imagine
brommen	to mutter
stam	trunk
riem	a) belt b) oar
envelop	envelope
eronder	below
uitzoeken	to select, to choose
flard	fragment
geweer	gun
matras	mattress
grijns	grin
verschijning	appearance
gapen	to yawn
erf	yard
spuiten	to squirt, to spray
rommel	clutter
woest	fierce
verdwalen	to get lost
kuil	pit, hole
bejaard	elderly, aged
verdrinken	to drown
konijn	rabbit
heimwee	homesickness
glippen	to slip
doodgaan	to die
borrel	drink
beker	cup
bediende	servant, waiter
hinderen	to impede, to hinder
pest	plague
brutaal	cheeky
vergissing	mistake
krimpen	to shrink
machteloos	powerless
bedwingen	to suppress
aanraking	touch
kerkhof	cemetery
niettemin	nevertheless
intiem	intimate
stilstand	standstill
zeep	soap
stormen	to be stormy
reusachtig	huge
wippen	to hop
vork	fork
janken	to whine
golven	to wave, to flow
jaloezie	a) jealousy b) blind
gieren	to scream
rijzen	to rise, to arise
verdringen	to push away
omheen	around
metalen	metal
onaangenaam	unpleasant
prijzen	to praise a) to price b) to praise
schrift	a) writing b) notebook
weiland	meadow
sleuren	to drag
uitlaten	a) to take out b) to express (oneself)
modder	mud
bleek	pale
sjaal	scarf
ader	vein
hoogstens	at the most
doorzichtig	transparent
kinderlijk	childlike
prikkelen	a) to stimulate b) to irritate
stank	bad smell
bezigheid	activity
kous	stocking
aankleden	to dress
remmen	to brake
prompt	immediate
flits	flash
juichen	to cheer
achterblijven	to stay behind to be left behind
uitgang	exit
sussen	to soothe
schijnbaar	seeming, apparent
oever	bank
kooi	cage
kalmeren	to calm
vaas	vase
verdrietig	sad
boog	a) arch b) bend
etalage	shop window
verlammen	to paralyse
mantel	overcoat
kameraad	comrade
schikken	to arrange
binnenkant	inside
handschoen	glove
ongemakkelijk	uncomfortable
abrupt	abrupt
zwerven	to wander
verveling	boredom
vat	a) barrel b) grip
dagboek	diary
beschaafd	civilized
dwaas	foolish
tevergeefs	in vain
schotel	dish
aantekening	note
aankomst	arrival
bederven	a) to rot b) to spoil
champagne	champagne
zaad	seed
ongelovig	disbelieving unbelieving
tegel	tile
flitsen	to flash
nestelen	to nestle
doemen	to doom
ritueel	ritual
omgeven	to surround
losmaken	to release, to undo
hut	hut
kostbaar	expensive, valuable
secretaresse	(female) secretary
waken	to watch
bagage	luggage
worstelen	to struggle
beamen	to endorse
uitbundig	exuberant
vergeefs	vain
glans	shine
beklimmen	to climb
lint	ribbon
mensheid	humankind
verontrusten	to worry
langskomen	to pass by, to come round
achterhoofd	back of the head
geruststellen	to reassure
bezweren	to swear
dapper	brave
haard	fireplace
luidruchtig	noisy
buitenwereld	outside world
hoofdpijn	headache
mopperen	to grumble
rekken (zich)	to stretch
toekijken	to watch
ontkomen	to escape
onrecht	injustice
onbewust	unconscious
overslaan	to miss (out), to skip
opstijgen	to rise
aanlopen	to come towards
toonbank	counter
scheur	crack, tear
duif	pigeon
luchtig	light, airy
donderen	to thunder
daarboven	above it
handschrift	handwriting
wei	pasture, field
verzwijgen	to keep silent about, to conceal
ui	onion
heden	today
klem	trap
broeder	brother
rommelen	to rummage, to fiddle
geschenk	gift
applaus	applause
duin	dune
koppig	stubborn
aanvoelen	to feel, to sense
salon	salon
opengaan	to open
vooruitzicht	prospect
enthousiasme	enthusiasm
schuilen	to shelter, to hide
schaars	scarce
elegant	elegant
oceaan	ocean
vurig	fiery
muts	hat
daglicht	daylight
rotzooi	junk junk, mess
non	nun
schoonmaken	to clean
bespeuren	to sense, to find
pistool	pistol
voorbijganger	passer-by
lunch	lunch
vermoeidheid	fatigue
pal	directly
voornaam	first name
schuldgevoel	feeling of guilt
thans	at present, now
dierbaar	dear
barst	crack
naaien	to sew
mankeren	to be wrong
verstrijken	to go by
knappen	to crack
decor	décor, setting
chef	manager
vanachter	from behind
Japans	Japanese
stoet	procession
overzien	to overlook
instemmen	to agree
hardnekkig	persistent
diner	dinner
observeren	to observe
parfum	perfume
rugzak	backpack
opperen	to put forward
betonnen	concrete
waanzinnig	mad
naald	needle
feestelijk	festive
helm	helmet
lul	dick
ouderlijk	parental
inpakken	to pack (up)
eruitzien	to look (like)
verontwaardiging	outrage, indignation
voornemen	intention
masker	mask
achtervolgen	to chase
fluit	flute
opbergen	to store
kater	tomcat
asfalt	asphalt
baksteen	brick
overgeven	a) to surrender b) to vomit
nabijheid	proximity
krom	crooked, curved
beek	stream
uitstappen	to get off
mild	mild
vandoor	off, away
fotograaf	photographer
teruggaan	to return
balk	beam
ladder	ladder
voltrekken	to take place to celebrate
interieur	interior
wieg	cradle, cot
halfjaar	six months, half a year
veroorloven (zich)	to permit
onschuld	innocence
melodie	melody
klaarmaken	to prepare
inslaan	to take to smash
vertragen	to slow down to delay
eromheen	around it
nakijken	to watch, to follow to check
resoluut	resolute
schommelen	to swing to fluctuate
neerkomen	to come down
tragisch	tragic
zondagmiddag	Sunday afternoon
speels	playful
charme	charm
voorkant	front
halt	stop
mysterieus	mysterious
moeiteloos	effortless
zakenman	businessman
driemaal	three times
nutteloos	useless
serveren	to serve
parkeerplaats	car park, parking space
kei	cobble(-stone)
atelier	studio
portefeuille	wallet
hoede	guard
verzoenen (zich)	to reconcile
afwachting	expectation
plezierig	pleasant
opzettelijk	deliberate
fotograferen	to photograph
almaar	constantly, all the time
knallen	to pop, to bang
trots	pride
cynisch	cynical
handvol	handful
mijden	to avoid
opdagen	to turn up
binnenstad	town centre
tempel	temple
beroven	to rob
meedelen	to announce
gaaf	a) intact b) great great
allerminst	not in the least
achterlijk	backward
beklagen	to pity
maandenlang	for months
levend	living, alive
daarstraks	just now
verteren	to digest
jeugdig	youthful
ertussen	in between
kok	cook
warenhuis	department store
slaaf	slave
handtas	handbag
genaamd	called
lullig	silly
ontevreden	dissatisfied
eender	(the) same
eerste	first
euro	euro
tweede	second
later	later, subsequent
aldus	thus
procent	per cent
minister	minister
wedstrijd	match
seizoen	season
Europees	European
Vlaams	Flemish
Belgisch	Belgian
ploeg	team
Amerikaans	American
voorzitter	chairman, chair
gemeente	municipality
speler	player
politiek	political
internationaal	international
burgemeester	mayor
huidig	current
nationaal	national
september	September
club	club
sociaal	social
start	start
regering	government
starten	to start
openbaar	public
financieel	financial
actie	action
oktober	October
januari	January
wegens	because of
trainer	trainer
vierde	fourth
mei	May
basis	basis
project	project
woning	house
strijd	battle
juni	June
scoren	to score
momenteel	currently
april	April
maart	March
voormalig	former
rechter	judge
reeks	series
jaarlijks	annual
bezoeker	visitor
onlangs	recently
regio	region
team	team
leider	leader
november	November
juli	July
december	December
actief	active
bestuur	board
winst	profit
cijfer	figure, number a) figure, number b) mark
dankzij	thanks to
Brits	British
controle	control
steun	support
finale	final
kosten	costs
augustus	August
lokaal	local
februari	February
schip	ship
verkiezing	election
ronde	round
veroordelen	to condemn
bestuurder	manager
buitenlands	foreign
match	match
gemiddeld	average
economisch	economic
aankondigen	to announce
bewoner	occupant
centraal	central
inwoner	resident, inhabitant
maatregel	measure
dader	perpetrator, offender
ene	a, one
daarnaast	beside it
stelen	to steal
voetbal	football
contract	contract
werknemer	employee
zege	victory
rechtbank	court
technisch	technical
president	president
eisen	to demand
premier	prime minister
amper	barely
woordvoerder	spokesman
alvast	meanwhile
beschikken	to have at one’s disposal
cel	cell
vervangen	to replace
samenwerking	collaboration
eigenaar	owner
kandidaat	candidate
sport	sport
West-Vlaams	West Flemish
doelpunt	goal
politicus	politician
medewerker	employee
recent	recent
risico	risk
bevolking	population
activiteit	activity
tegenstander	opponent
schade	damage
definitief	final
gewond	injured
verdenken	to suspect
dollar	dollar
bedrag	amount, sum
provincie	province
miljard	billion
boete	fine
trainen	to train
klacht	complaint
website	website
nadien	after(wards)
verkeer	traffic
provinciaal	provincial
media	media
populair	popular
redactie	editorial staff
klasse	class
dossier	file
vereniging	club
overwinning	victory
Brussels	Brussels
burger	citizen
meerderheid	majority
prestatie	performance
plannen	to plan
personeel	staff
verlies	loss
agent	policeman
Amerikaan	American
schepen	local councillor
aandeel	share
bedragen	to amount (to)
nochtans	nevertheless
winnaar	winner
brandweer	fire department
economie	economy
veiligheid	safety
advocaat	lawyer
kampioen	champion
dief	thief
competitie	competition
training	training, practice
coach	coach
vijfde	fifth
carrière	career
deelnemer	participant
Antwerps	Antwerp
ongeval	accident
ontkennen	to deny
belanden	to end up
oppakken	to arrest
redacteur	editor
divers	various
commissie	committee
kabinet	cabinet
erkennen	to recognize
spits	striker
gemeenteraad	local council
oplopen	to increase
opvallend	striking
Italiaans	Italian
verkoop	sale
aanhouden	to stop, to arrest
verhogen	to increase
koers	rate
luiden	to read, to be
deelnemen	to participate
doelman	goalkeeper
presenteren	to present
investeren	to invest
partner	partner
opmerkelijk	striking, remarkable
opleveren	to yield
boeken	to book
voorsprong	lead
historisch	historical
plaatselijk	local
behalen	to gain, to achieve
fors	robust
justitie	justice
traditioneel	traditional
wijk	district, neighbourhood
pleiten	to plead
federaal	federal
hoofdstad	capital
parlement	parliament
gemeentebestuur	local authority
samenleving	society
parket	a) parquet b) public prosecutor
anderhalf	one and a half
podium	stage
tachtig	eighty
voertuig	vehicle
waaronder	including
nederlaag	defeat
belofte	promise
aanslag	attack
ambitie	ambition
bedreigen	to threaten
verslaggever	reporter
wereldkampioenschap	world championship
productie	production
oprichten	to establish, to found
talent	talent
voetballen	to play football
rapport	report
stadsbestuur	town government
job	job
benadrukken	to emphasize
campagne	campaign
vlot	quick
voorbereiding	preparation
cultureel	cultural
uniek	unique
publiceren	to publish
militair	military
aanpak	approach
indienen	to present, to file
’s avonds	in the evening, at night
sportief	competitive
vergelijking	comparison
groei	growth
baseren	to base (on)
succesvol	successful
duel	duel, match
bouw	construction
beschikbaar	available
locatie	location
negentig	ninety
concurrentie	competition
gemeenschap	community
verwijzen	to refer
afkomstig	originating, from
Spaans	Spanish
manager	manager
concurrent	competitor
selectie	selection
fan	fan
onafhankelijk	independent
vakbond	trade union
dertien	thirteen
zeventig	seventy
unie	union
tentoonstelling	exhibition
supporter	supporter
beurs	stock market, exchange market
editie	edition
gevangenis	prison
gemeentelijk	municipal
schorsen	to suspend
operatie	operation
voldoen	to satisfy, to fulfil
illegaal	illegal
bijdrage	contribution
publiek	public
diefstal	theft
kunstenaar	artist
bekendmaken	to announce
inzet	effort
vrachtwagen	lorry
onderhandeling	negotiation
overbrengen	to transfer
renner	rider, runner
omzet	turnover
Gents	Ghent
werkgever	employer
verdediger	defender
versie	version
ontslag	resignation, dismissal
investering	investment
relatief	relative
lanceren	to launch
onderneming	enterprise
gerecht	a) dish b) law court
inschrijven (zich)	to register
onderzoeker	researcher
beschuldigen	to accuse
vernieuwen	to renew
maximaal	maximum
vooraf	beforehand
verlengen	to extend
blessure	injury
wereldwijd	worldwide
goal	goal
conflict	conflict
organisator	organizer
ontslaan	to dismiss, to fire
topper	top-class match
wijten	to blame
gedenken	to remember
verkiezen	a) to prefer b) to elect
verscheiden	several
verdediging	defence
volop	in abundance
directie	management
evenement	event
onvoldoende	insufficient
evenwel	nevertheless
Amsterdams	Amsterdam
opvolger	successor
site	site
oorspronkelijk	original
vzw	non-profit organization
tal	number
kiezer	voter
subsidie	subsidy
serie	series
produceren	to produce
oordelen	to judge
alternatief	alternative
achterstand	arrears
botsen	to clash
koppel	couple
fysiek	physical
incident	incident
kruispunt	crossing
stijging	increase
profiteren	to benefit
duo	duo
schot	shot
telefoonnummer	telephone number
Turks	Turkish
hopelijk	hopefully
aanleg	construction
toenmalig	former, then
beschikking	disposal
gemeenteraadsverkiezing	local election
thuisploeg	home team
correspondent	correspondent
toeschouwer	spectator
nieuwkomer	newcomer
schorsing	suspension
regisseur	director, producer
verwonding	injury
consument	consumer
opbrengst	proceeds
koninklijk	royal
eentje	one
bond	union
mede	also
oppositie	opposition
optie	option
zaterdagavond	Saturday evening
kampen	to cope with, to struggle with
uitbreiding	expansion
verslaan	to defeat
onderhandelen	to negotiate
overeenkomst	agreement
kampioenschap	championship
inbraak	burglary
democratisch	democratic
show	show
schrappen	to delete, to cancel
werking	effect functioning
procedure	procedure
ticket	ticket
regionaal	regional
voetballer	football player
weekeinde	weekend
oproep	call
protest	protest
extreem	extreme
Vlaming	Fleming
middenvelder	midfielder
presteren	to achieve
autoriteit	authority
stilaan	gradually
parking	car park
arresteren	to arrest
buit	booty
aanvaller	attacker
toernooi	tournament
militair	soldier
aanzienlijk	considerable
onduidelijk	unclear
EU	EU
toekomstig	future
uitstel	delay
fietser	cyclist
tip	tip
basisschool	primary school
dateren	to date (from)
voorjaar	spring
defensie	defence
firma	company
aankoop	purchase
moslim	Muslim
zanger	singer
set	set
Limburgs	Limburg
vertegenwoordigen	to represent
elftal	team
hiervoor	for this
uitdaging	challenge
drama	drama
origineel	original
beschadigen	to damage
festival	festival
opereren	to operate
crisis	crisis
favoriet	favourite
muzikaal	musical
spectaculair	spectacular
record	record
score	score
aanmerking	comment
voordien	before then
islamitisch	Islamic
stadion	stadium
selecteren	to select
bondscoach	national coach
afwerken	to finish, to work through
verantwoorden (zich)	to justify
scheidsrechter	referee, umpire
mikken	to aim
topman	executive
decennium	decade
gevangenisstraf	imprisonment
speeldag	match day
aflevering	episode
democratie	democracy
imago	image
indrukwekkend	impressive
overname	takeover
inbreken	to break into
omschrijven	to describe
deelname	participation
westers	Western
behoud	preservation
kloof	cleavage, gap
Chinees	Chinese
trend	trend
specialiseren	to specialize
testen	to test
celstraf	imprisonment
stedelijk	urban
wettelijk	legal
budget	budget
scenario	scenario
anoniem	anonymous
commissaris	commissioner
junior	junior
belegger	investor
collectief	collective
mobiel	mobile
vertegenwoordiger	representative
coalitie	coalition
toegankelijk	accessible
respectievelijk	respectively
streven	to pursue, to strive (for)
wereldkampioen	world champion
digitaal	digital
aantonen	to demonstrate
instituut	institute
concluderen	to conclude
Waals	Walloon
mentaal	mental
Leuvens	Leuven
administratief	administrative
najaar	autumn, fall
categorie	category
cruciaal	crucial
kwartaal	quarter
getuigen	to witness
fonds	fund
cliënt	client
inkomsten	revenues, income
vrijwilliger	volunteer
begroting	budget
uitzenden	to broadcast
fit	fit
religieus	religious
omstreeks	about
uitbater	manager
binnenlands	domestic
artiest	artist
hanteren	to employ
schadevergoeding	compensation
buurtbewoner	local resident
lokaal	classroom
grotendeels	largely
volstaan	to suffice
gemeenteraadslid	local councillor
haal	~ run off with
voorts	furthermore
forceren	to force
handelaar	trader
circa, ca.	approximately
netwerk	network
luchthaven	airport
domein	domain
uitstellen	to delay
motiveren	to motivate
vrijdagavond	Friday evening
gemeentehuis	local government offices
producent	producer
ingreep	a) operation b) intervention
jury	jury
wetenschapper	scientist, scholar
inclusief	including
verplaatsing	move(ment)
strafschop	penalty kick
slotfase	final phase
factor	factor
blesseren	to injure
schepencollege	local council
correctioneel	correctional
analyse	analysis
favoriet	favourite
deels	partly
gewest	region
vestiging	establishment
affiche	poster
analist	analyst
lichtgewond	slightly injured
daling	drop
Iraaks	Iraqi
zender	a) transmitter b) channel channel
zoektocht	search
stadhuis	town hall
verdubbelen	to double
deelgemeente	borough
liberaal	liberal
zogeheten	so-called
hervatten	to resume
respecteren	to respect
vergelijkbaar	comparable
confrontatie	confrontation
efficiënt	efficient
zondagavond	Sunday evening
treffer	goal
aanpassing	adjustment
schatting	estimate
ondernemer	entrepreneur
reputatie	reputation
omstreden	controversial
vonnis	judgement
aannemer	contractor
inbreker	burglar
specialist	specialist
dramatisch	dramatic
vergunning	permit
expert	expert
stichting	foundation, institution
sponsor	sponsor
eigendom	property
riskeren	to risk
aandeelhouder	shareholder
gerechtelijk	judicial
senior	senior
wijzigen	to change
fenomeen	phenomenon
secretaris	secretary
aftrap	kick-off
voorleggen	to submit, to present
uitgave	a) expense b) edition
onderhoud	maintenance
aantreden	to take office
ambitieus	ambitious
voorstander	supporter
belonen	to reward
ontwerp	design
vertraging	delay
hedendaags	contemporary
Israëlisch	Israeli
Rotterdams	Rotterdam
woordvoerster	spokeswoman
Marokkaans	Moroccan
live	live
industrie	industry
exclusief	exclusive
vernieuwing	renewal
hoofdrol	leading role
integratie	integration
vanop	from
fusie	merger
automobilist	motorist, driver
domineren	to dominate
olympisch	Olympic
gelijkspel	draw
werkloos	unemployed
regime	regime
rijbewijs	driving licence
transfer	transfer
toeristisch	tourist
beschuldiging	accusation
sporthal	sports hall
Afrikaans	African
financiën	finance(s)
radicaal	radical
promotie	promotion
documentaire	documentary
debuut	debut
bijdragen	to contribute
klus	job
Franstalig	French(-speaking)
ontgoocheld	disillusioned
kunstwerk	work of art
elektronisch	electronic
allochtoon	foreign
verbod	ban, prohibition
melding	report
personeelslid	employee
lijsttrekker	party leader
overzicht	survey
herstel	recovery
deskundig	expert
vernielen	to destroy
besturen	to govern to drive
strategie	strategy
misbruik	abuse
betrokkenheid	involvement
actrice	actress
allochtoon	immigrant
vrijlaten	to release
terrorist	terrorist
terrorisme	terrorism
overlast	nuisance
onderzoeksrechter	~ examining magistrate
eenheid	unit, unity
mobiliteit	mobility
publicatie	publication
liter	litre
zangeres	(female) singer
criterium	criterion
overtreding	violation, offence
evolutie	evolution
verkrijgen	to obtain
bedrijfsleven	business world
rechtszaak	trial
vooraleer	before
minderjarig	underage
voetbalclub	football club
fraude	fraud
toekennen	to award
alternatief	alternative
aanloop	run-up
premie	premium
tribune	stand
omroep	broadcasting company
haalbaar	feasible
vooralsnog	for the time being
ministerie	ministry
natie	nation
’s ochtends	in the morning
arrestatie	arrest
oostelijk	east, eastern
artistiek	artistic
ondervragen	to interrogate, to question
hervorming	reform
fiscaal	fiscal
scholier	pupil
realistisch	realistic
betreuren	to regret
lat	bar
kostprijs	cost price
verwittigen	to notify
kleedkamer	dressing room
concept	concept
inleveren	a) to hand in b) to sacrifice
hectare	hectare
wagen	to risk
blokkeren	to block
donderdagavond	Thursday evening
woensdagavond	Wednesday evening
conditie	condition
Arabisch	Arabic
lidstaat	member state
opvolgen	to succeed, to follow to follow
balans	balance
handtekening	signature
middenveld	midfield
inzake	concerning
conservatief	conservative
file	traffic jam
netjes	neat(ly)
gebruiker	user
vaststelling	conclusion
sneuvelen	a) to fall b) to break
persconferentie	press conference
islam	Islam
voluit	in full
ruimtelijk	spatial
fietspad	cycle lane
Fransman	Frenchman
kartel	cartel
hinder	nuisance, disruption
peloton	peloton
raak	~ home, telling
reserve	substitute
botsing	collision
infrastructuur	infrastructure
parcours	trail
aanrijden	to hit, to run into
dinsdagavond	Tuesday evening
klassement	list of rankings
comité	committee
troef	ace
VN	UN
nieuweling	newcomer
matig	mediocre
concern	group
beperking	restriction
resteren	to remain
versterking	strengthening
tiener	teenager
installatie	system
veroordeling	conviction
kwartfinale	quarter-finals
capaciteit	capability
elektriciteit	electricity
criticus	critic
legendarisch	legendary
’s morgens	in the morning
race	race
opkomst	turnout
ogen	to look
oprichting	foundation, establishment
maker	creator
verduidelijken	to clarify
grondwet	constitution
gouverneur	governor
elite	elite
gewelddadig	violent
adviseur	counsellor, adviser
Haags	Hague
gelijkaardig	similar
stage	internship
erkenning	recognition
kwalificatie	qualification
complex	complex
bevorderen	to promote
stabiel	stable
congres	congress
crimineel	criminal
toename	increase
première	premiere, first night
berichtgeving	coverage
variëren	to vary
grondgebied	territory
promoten	to promote
toerisme	tourism
socialistisch	socialist
werkloosheid	unemployment
divisie	division
veelal	often
volwassene	adult
mandaat	mandate
sukkelen	to trudge, to trot
percentage	percentage
beklagen (zich)	to complain
gistermiddag	yesterday afternoon
daadwerkelijk	actual
doorbraak	breakthrough
reportage	report
sanctie	sanction
Pools	Polish
beheren	to manage
complex	complex
verdenking	suspicion
asielzoeker	asylum seeker
strategisch	strategic
variant	variant
liberaal	liberal
structureel	structural
minderheid	minority
volksgezondheid	public health
maandagavond	Monday evening
arbeidsmarkt	labour market
optimistisch	optimistic
aankopen	to purchase
mix	mix
klassieker	classic
juweel	jewel
overval	raid
lening	loan
goederen	goods
regie	direction
faillissement	bankruptcy
crimineel	criminal
corruptie	corruption
vermeend	supposed
socialist	socialist
peiling	poll
breuk	fracture
aanhanger	supporter adherent
binnenhalen	to bring in
prominent	prominent
parlementslid	member of parliament
overstap	switch(-over)
drastisch	drastic
zetelen	to reside
uitreiken	to present
vrees	fear
demonstratie	demonstration
stunt	stunt
impact	impact
wielrennen	cycle racing
fabrikant	manufacturer
trio	trio
sluiting	closure
parlementair	parliamentary
opstappen	to go away, to step down
genre	genre
promoveren	a) to obtain one’s doctoral degree b) to be promoted
impuls	impulse
onterecht	unfair, undeserved
sporen	to travel by train
pleidooi	plea
religie	religion
gram	gram
berucht	notorious
constructie	construction
leverancier	supplier
opstarten	to start (up)
prof	professional, pro
verhoor	interrogation
technologie	technology
grootschalig	large-scale
baten	to avail
weren	to keep out
criminaliteit	criminality
overschrijden	to exceed, to step over
volwaardig	full
keeper	(goal)keeper
wijziging	change
verwijzing	reference
management	management
aangifte	report, declaration
betaalbaar	affordable
verzorging	care
introduceren	to introduce
nationaliteit	nationality
populariteit	popularity
prijken	to shine
onderstrepen	to underline
gelijknamig	of the same name
betogen	to argue
zuidelijk	southern
werkgelegenheid	employment
drietal	three(some)
afdwingen	to enforce
bundelen	to bundle
benutten	to make use of
assistent	assistant
delegatie	delegation
terugblikken	to look back
stranden	to run ashore
uitstraling	radiation, look
inschakelen	to switch on
resulteren	to result
verkrijgbaar	available
samenstelling	composition
misbruiken	to abuse
verhoging	increase
symbolisch	symbolic
slogan	slogan
rente	interest
vorming	formation formation, training
wethouder	alderman, councillor
ontvoeren	to abduct
welzijn	welfare
song	song
circuit	circuit
beu	tired
misdrijf	crime
komedie	comedy
opstelling	line-up
solidariteit	solidarity
relativeren	to put in perspective
alarm	alarm
buurland	neighbouring country
chemisch	chemical
beheer	management
ingrijpend	radical
inspiratie	inspiration
authentiek	authentic
werkzaam	employed, active active
soortgelijk	similar
racisme	racism
extern	external
federatie	federation
tegenslag	setback
etappe	stage, leg
senator	senator
aanklacht	charge, complaint
hip	fancy
psychiatrisch	psychiatric
componist	composer
noordelijk	northern
subsidiëren	to subsidize
onveilig	unsafe
vrijmaken	to set free, to keep free
voeding	nutrition, food
uitwijzen	to show
rebel	rebel
referendum	referendum
presentator	presenter
racistisch	racist
publiciteit	publicity
etnisch	ethnic
benoeming	appointment
discriminatie	discrimination
schadelijk	harmful
rubriek	column section
bestempelen	to label
verdeling	distribution division
moskee	mosque
doelgroep	target group
bewind	government, regime
regulier	regular
dj	disc jockey
wielrenner	cyclist
burgeroorlog	civil war
eenzijdig	unilateral, one-sided
oprichter	founder
historicus	historian
column	column
simpelweg	simply
brandstof	fuel
groepering	group, grouping
bestuurlijk	administrative
dumpen	to dump
matigen	to moderate
bekendheid	fame
anno	anno, in the year
verspreiding	spread
ligging	location
westelijk	west, western
uh	er
hè	~ isn’t it, don’t I
hoor	you know
ah	oh
oké, OK	OK
hé	~ hey
gij, ge	you
allee	~ come on
mekaar	each other
jawel	yes, indeed
goh	~ gosh
naartoe	to there
negentien	nineteen
snappen	to understand
jouw	your
weer	weather
hu	ugh
eventjes	quickly
joh	~ mate, you
hartstikke	terribly
ontzettend	tremendous, terrible
sorry	sorry
grappig	funny
awel	oh well
vijfentwintig	twenty-five
oei	oops
sowieso	anyway
och	oh
tweehonderd	two hundred
ha	ah
tweeduizend	two thousand
enfin	in short, anyway
hm	hmm
nul	zero
verbinding	connection
aha	aha
hoezo	why
heleboel	a lot
enzovoort, enz., en zo	etc., and so on
tja	well
frank	frank
amai	~ oh my (God)
alhoewel	although
voilà	there you are
gelijk	just as
pff	whew
Engels	English
tof	great
vierentwintig	twenty-four
bah	yuck
Frans	French
vijfhonderd	five hundred
driehonderd	three hundred
komma	comma
benieuwd	curious
ho	stop
jee	oh dear, oh no
hoi	hi
lesgeven	to teach
zesentwintig	twenty-six
rap	fast, quick(ly)
eenentwintig	twenty-one
tweeëntwintig	twenty-two
cd	CD
drieëntwintig	twenty-three
zat	plenty
vijfendertig	thirty-five
vierhonderd	four hundred
tussendoor	in between
ginder	over there
diegene	he, she, those who
achtentwintig	twenty-eight
dinges	what-d’you-call-it, thingy
vijfenveertig	forty-five
volgend	next
zeshonderd	six hundred
morgenavond	tomorrow
gelukken	to succeed
mailen	to mail, to post
irritant	irritating
opsturen	to send
weeral	again
content	content
wiskunde	mathematics
goesting	fancy
dialect	dialect
groet	greeting
September	September
link	link
bron	source
oppervlakte	surface
forum	forum
topic	topic
indien	if
aangezien	since
post	post
verenigen (zich)	to unite
tevens	also
maja	but then
et cetera, etc.	etc.
statistiek	statistics
afbeelding	image
voornamelijk	mainly
commercieel	commercial
term	term
wereldoorlog	world war
hierdoor	because of this, through this
hierbij	hereby, with this
hiervan	of this
district	district
merk	brand
pink	little finger
deelstaat	(federal) state
westen	west
sterkte	strength
album	album
motorfiets	motorcycle
derde	third
oosten	east
super	super
koninkrijk	kingdom
huishouden	household
zalig	glorious, heavenly
innen	to collect
btw	VAT
haha	haha
republiek	republic
oorsprong	origin
stichten	to found, to start
definitie	definition
luisteraar	listener
kenmerk	characteristic
rijk	state (kingdom, empire)
beschrijving	description
cc	cc
o.a.	amongst other things
onafhankelijkheid	independence
zever	nonsense
departement	department
single	single
geografie	geography
radiostation	radio station
godsdienst	religion
hierin	in this
grenzen	to border
zwangerschap	pregnancy
beluisteren	to listen
dr.	Dr, doctor
hierboven	above
kenmerken	to characterize
hit	hit
keizer	emperor
hierop	(up)on this
geografisch	geographic(al)
paus	pope
indeling	division
Romeins	Roman
frequentie	frequency
zot	foolish
bijgevolg	as a consequence
hoofdzakelijk	mainly
benaming	name
ex	ex
posten	to post
hierna	after this
hieronder	below
verwant	related
vernoemen	to name
privé	private
bevalling	delivery
aanhalen	to pull in, to tighten
splitsen	to split
gewoonweg	simply
downloaden	to download
insect	insect
typen	to type
derhalve	therefore
definiëren	to define
weergeven	to represent
ideologie	ideology
christendom	Christianity
kolonie	colony
interpreteren	to interpret
data	data
nazi	Nazi
gen	gene
hernemen	to resume
historie	history
hieraan	to this
minder	less
verder	further
anders	otherwise
echter	however
meest	most
best	best
vanuit	from
immers	indeed
vrijdag	Friday
organisatie	organization
overheid	government
maandag	Monday
positief	positive
behoren	to belong
intussen	meanwhile
raad	advice
uitvoeren	to perform
niveau	level
woensdag	Wednesday
gratis	free
bedoelen	to intend
liefst	preferably
beperken	to limit
treden	to step
jou	you
donderdag	Thursday
bevestigen	to confirm
weigeren	to refuse
dertig	thirty
discussie	discussion
dinsdag	Tuesday
uitspraak	statement
druk	pressure
veroorzaken	to cause
klant	customer
systeem	system
ontwikkeling	development
bevinden (zich)	to find
kritiek	criticism
Nederlander	Dutchman
cultuur	culture
poging	attempt
verantwoordelijk	responsible
minstens	at least
beweren	to claim
fout	error
dwingen	to force
leiding	leadership
veld	field
steunen	to support
dalen	to go down
binnenkort	shortly
vijftien	fifteen
initiatief	initiative
gevaar	danger
eventueel	potential
internet	internet
gebrek	lack
kwaliteit	quality
onderwijs	education
vertrouwen	trust
plots	sudden
product	product
beleid	policy
plegen	to commit
functie	function
eveneens	also
vijftig	fifty
ontbreken	to lack
jeugd	youth
buitenland	foreign country, abroad
termijn	term
geweld	violence
elf	eleven
zaal	hall
verdedigen	to defend
negatief	negative
vestigen	to set
onderdeel	part
aanpassen	to adjust
zwak	weak
onbekend	unknown
omstandigheid	circumstance
Belg	Belgian
koning	king
beschermen	to protect
besluit	decision
reeds	already
bevatten	to contain
praktijk	practice
totaal	total
herstellen	to recover
compleet	complete
maatschappij	society
proces	trial
