bir	a, an
bayan	Miss, Mrs., Ms., woman
kapla	to cover
içki	liquor
bel	waist; lower back
evren	universe; cosmos
denli	so, in so much as
titre	to shiver, to tremble
ayrım	distinction, discrimination
teyze	(maternal) aunt
istihdam	employment
mensup	member
hiçbiri	none; nothing
hakim	(n) judge (adj) dominating
gizle	to hide, to conceal
piş	to be cooked
anahtar	key
işletme	enterprise; management
kurtuluş	liberation
kader	fate, destiny
gövde	body
sal	(v) to release, to set free (n) raft
ekran	screen
tuhaf	strange, odd, weird
sinir	nerve
hediye	gift, present
yalnızlık	loneliness, solitude
ısrar	insistence
padişah	sultan
aykırı	contrary; against
tedbir	measure, precaution, action
çıktı	output
tekrarla	to repeat
toplu	collective
vakıf	foundation
temmuz	July
aktif	active; effective
inşaat	building, construction
dans	dance
gözük	to appear
netice	result, conclusion
onayla	to approve, to certify
yenile	to renew
sakin	(n) resident (adj) calm, tranquil
yanıtla	to answer, to reply
kanıtla	to prove
özen	(v) to imitate (n) care
endişe	anxiety, worry
arz	offer; supply
bank	bench
keşfet	to discover
soluk	breath
zafer	victory, triumph
usul	method, procedure
zannet	to suppose, to guess
çare	cure, remedy
bahar	spring
gayret	effort
tarihli	dated
etken	factor
yakış	to suit
müdürlük	management
seyirci	spectator
alternatif	alternative
şura	here or there
tümü	all, as a whole
fonksiyon	function
boğaz	throat
arayış	search
derinlik	depth
düğün	wedding reception
köprü	bridge
gerçi	though, yet, however
hepimiz	all of us
tel	wire, string
fon	fund
düzenli	regular, tidy
hızlan	to speed up, to accelerate
gıda	food, nourishment
dışişleri	foreign affairs
harita	map
reform	reform
haziran	June
sön	to die down
çap	diameter
canlan	to light up; to be refreshed
tüket	to consume
intihar	suicide
saf	(n) side (adj) pure
kulüp	club
küresel	global
döviz	currency
santral	telephone exchange; power plant
evrensel	universal
somut	concrete
pazarla	to market, to sell
dilim	slice, piece
dostluk	friendship
kuram	theory
kurt	wolf; worm
form	form, shape
deney	experiment
otomobil	car
çak	to nail
zamanla	in time
kasaba	small town
bulut	cloud
sürükle	to drag
ilet	to convey, to deliver
muhalefet	opposition
kongre	congress
öbür	other
psikolojik	psychological
makam	position, office
cinayet	murder
cesaret	courage
üretici	producer
sigorta	insurance
bayrak	flag
utan	to be ashamed
yeryüzü	earth, world
şık	(n) option (adj) chic
alacak	debt, credit
kutsal	sacred, holy
güçlük	difficulty
bulundur	to keep, to maintain
kapak	lid, cover, cap
yapış	to stick, to cling
heyet	committee, board
süz	to filter, to strain
profesör	professor
bağımsızlık	independence
futbol	football
adres	address
ağustos	August
gerçeklik	reality
alet	tool, instrument, device
mesafe	distance
özet	summary
tasarım	design
özetle	to summarize
vali	governor
akla	to clear
diz	(n) knee (v) to align, to line up
tehlikeli	dangerous
aksine	on the contrary, unlike
itiraz	objection
göl	lake
yurtdışı	abroad
rahatla	to feel better
gökyüzü	sky
ümit	hope
nefret	hate
yolcu	traveler, passenger
merdiven	stairway; ladder
evvel	before
toz	dust; powder
kemik	bone
bulgu	finding
organizasyon	organization
masal	fairy tale
üstün	superior, outstanding
denetle	to check, to inspect
yiyecek	food
tahta	wood
disiplin	discipline
işit	to hear
üyelik	membership
ip	rope, string
gözlem	observation
gündüz	daytime
koyun	sheep
ağrı	(n) ache, pain (v) to ache, to hurt
şubat	February
boyun	neck
tuz	salt
halen	at present, still
özle	to miss
öylesine	so, so very
ihale	bid
dinamik	(adj) dynamic (n) dynamics
mezar	grave
göm	to bury
oğlan	boy
dönüşüm	transformation
özlem	longing
yapıt	work
ibaret	composed of
iklim	climate
imparatorluk	empire
seçenek	option
ortalık	surroundings
belirgin	apparent, evident
um	to hope; to expect
sendika	union
keşke	if only
akıllı	wise, intelligent
zorunluluk	obligation
uyarı	warning
kuşku	suspicion; doubt
coğrafya	geography
soy	(v) to peel; to undress (n) race; family
olağanüstü	extraordinary
yarala	to injure
fiziksel	physical
doku	(n) tissue (v) to weave
beceri	talent, skill
hazine	treasure
deneme	test, trial; essay
otorite	authority
deyim	idiom
bilgin	scholar, scientist
parlamento	parliament
barın	to take shelter
ilim	science
kolaylık	easiness; convenience
konferans	lecture; conference
suçlu	guilty
sonuçlan	to result
tarla	field
gezi	excursion
keyif	joy, pleasure
yürürlük	validity
sakın	(v) to avoid (adv) don’t ever
tecrübe	experience
rakip	rival
ahlak	morals, morality
konser	concert
sıradan	common, ordinary
bütünleş	to become integrated
eşitlik	equality
maaş	salary, payment
saldır	to attack
kapitalizm	capitalism
çoktan	already
misafir	guest, visitor
suretiyle	thereby, by means of
yuva	nest; home
matematik	mathematics
herşey	everything
avukat	lawyer
azınlık	minority
görünüm	appearance, view
mevsim	season
işsizlik	unemployment
teşkilat	organization
hoşlan	to like
kampanya	campaign
karın	belly, abdomen
yangın	fire
yoksul	poor
bizzat	in person
akraba	relative
işyeri	workplace
bütünlük	integrity, completeness
tasarruf	saving
çağrı	call
sessizlik	silence
hapis	imprisonment
çığlık	scream
yararlı	useful
mühendis	engineer
tanık	witness
tez	(n) argument, thesis (adj) quick, rapid
alev	flame
gümrük	customs
avuç	palm
sabır	patience
onur	pride, honor
tasarı	proposal; bill
motor	motor
saniye	second
korkunç	awful, terrible
gürültü	noise
daima	always
bünye	structure; body
damar	vein
transfer	transfer
paralel	parallel
ilave	(n) addition (adj) additional
yüce	great, sublime
yaygınlaş	to become widespread
giysi	clothes, dress
cadde	street
zincir	chain
karşıt	contrary; opposite
bomba	bomb
isyan	rebellion
elektronik	electronic
uygarlık	civilization
diren	to resist
akış	flow, passing
kolaylaş	to get easy
gayet	quite, rather
alım	buying, purchase
statü	status
sofra	dinner table
gözyaşı	tear
şişe	bottle
etik	ethics
öyleyse	then, if so, so
cennet	heaven, paradise
teknolojik	technological
türkü	folk song
rahatlık	comfort
parlak	bright
moda	fashion
kurucu	founder
yürüyüş	walk; march
nehir	river
yanıl	to be mistaken
zirve	summit
ilkokul	primary school
refah	prosperity, welfare
sez	to sense, to perceive
satır	line
em	to suck; to absorb
sandık	chest, trunk
delik	hole
endüstri	industry
şarap	wine
dayı	(maternal) uncle
eşlik	company
yaka	collar; side
yorgun	tired
dola	to wind, to roll
ağa	landlord
temin	supply; assurance
mutlak	absolute
işgücü	workforce
kör	blind
kusur	defect, fault
eriş	to reach; to attain
yetersiz	insufficient, inadequate
pahalı	expensive
bellek	memory
dikkatli	careful
şube	branch office
karmaşık	complex
buz	ice
evlat	child
şoför	driver
başvuru	application
subay	officer
avantaj	advantage
ayarla	to adjust; to arrange
verimlilik	productivity
ölçek	scale; measure
demokrat	democrat, democratic
devrimci	revolutionary
konut	house
eğlence	entertainment
tayin	appointment
anlatım	exposition
kamp	camp
un	flour
ortaklık	partnership
çekici	(adj) attractive (n) tow truck
müthiş	terrific, excellent
hürriyet	freedom, liberty
istasyon	station
batılı	western
kuyruk	tail; line
sergi	exhibition, display
bay	Mr.
kötülük	evil
işkence	torture
tur	tour
kucak	lap, embrace
yönetmen	director, manager
günah	sin
dürüst	honest
kıyafet	dress
tasarla	to plan
dördüncü	fourth
hacı	hadji, pilgrim
anket	questionnaire, survey
düşünür	philosopher
dönük	facing
silahlı	armed
apartman	apartment building
ameliyat	surgery, operation
yenilik	newness, novelty
nesil	generation
sel	flood
mekan	place
mısır	corn
üstünlük	superiority
alay	regiment; mocking
güvence	guarantee
tavsiye	recommendation, advice
melek	angel
örnekle	to exemplify
cezaevi	prison house, jail
ufuk	horizon
aydınlat	to enlighten, to light up
kaz	(n) goose (v) to dig; to excavate
düz	flat, straight, smooth
arın	to become clean
ikna	convincing
uzay	space
hariç	except for
gurur	pride
kura	drawing lots
savcı	public prosecutor
sars	to shake
tohum	seed
duygusal	emotional
oyuncak	toy
kurşun	lead; bullet
çekim	draw, pull; shooting; attraction
toparla	to gather together; to summarize
zeki	smart, clever
altyapı	infrastructure
idari	administrative
özür	excuse; handicap
yazın	(n) literature (adv) in summer
eğlen	to have fun
medeniyet	civilization
kazanç	earnings, benefit
taksi	taxi
kategori	category
çelişki	contradiction, paradox, disagreement
ideal	ideal, perfect
cemaat	religious community
maalesef	unfortunately
iktisadi	economic, financial
tutku	passion
hayret	amazement, surprise
yaratıcı	creative
mükemmel	excellent, perfect
başlıca	principal, main
sosyalist	socialist
aleyh	against
aksi	irritable; opposite
açlık	hunger
aydınlık	(n) brightness (adj) light; bright
özelleş	to be specialized in
kararlı	determined; stable
istikrar	stability
verimli	productive, fruitful
turist	tourist
aydınlan	to be enlightened, to become clear
tabaka	layer, stratum
ihmal	negligence
hayli	a lot
çekirdek	seed; core
kok	to smell
ger	to tighten; to irritate
heykel	sculpture
zenginlik	richness, wealth
müze	museum
kabuk	peel; shell; bark
bunca	this much
danış	to consult
yoğunluk	density, intensity
tuvalet	toilet
kurs	course
katlan	to tolerate, to endure
açıklık	openness; clarity
örtü	cover
bildiri	notice; proclamation
kanıt	evidence, proof
özne	subject
yaşantı	experience
duman	smoke, fumes
kamera	camera
kullanıcı	user
delikanlı	young (man), juvenile
cihaz	gadget
vicdan	conscience
etkileşim	interaction
çelik	steel
kızar	to turn red; to be fried
araştırmacı	researcher
hekim	physician
şükür	gratitude, thankfulness to God
iyilik	goodness, kindness, favor
şahıs	person, individual
sekreter	secretary
dam	roof
mide	stomach; belly
gidiş	going, departure
asır	century
gözlemle	to observe
seyahat	journey, travel, voyage
besin	nourishment, food
ayıp	(n) shame, disgrace (adj) shameful
hikaye	story
yığ	to pile up
ayrılık	separation; division
koşulla	to condition
devamlı	always, continuously
yığın	heap, pile, stack
daral	to become narrow, to get tight
gerile	to regress
öv	to praise
senaryo	scenario, screenplay
izleyici	audience
yönetmelik	regulation, instruction
çatı	roof
sandalye	chair
formül	formula
küçül	to become small; to shrink
başkent	capital
stratejik	strategic
koyu	dark (color)
kare	square
iri	large, coarse
uzlaş	to compromise
çöp	garbage
evli	married
tümüyle	completely
etnik	ethnic
çıplak	naked; bare
süsle	to decorate
şekillen	to form
tüken	to be exhausted; to be consumed
ayrıntılı	detailed
şaşkınlık	surprise, confusion
kaba	rough; rude
fiil	act, action
yoksun	deprived of; devoid of
manevi	spiritual, emotional
hüzün	melancholy
taze	fresh; new
prensip	principle
aslan	lion
makale	article
şehit	martyr
liman	harbor, port
varol	to exist
hukuki	legal
sız	to leak
büro	office, bureau
dağıtım	distribution
kana	to bleed
isimli	called, named
fizik	physics
albüm	album
zavallı	poor, miserable
kum	sand
yapısal	structural
alkol	alcohol
tırman	to climb
rahatsızlık	discomfort
istifa	resignation
eyle	to act, to do
elle	to touch
bunalım	depression, crisis
tekne	boat
miras	heritage; inheritance
kısıtla	to restrict, to limit
hisse	part; lot
doğrula	to verify, to confirm
seri	(n) series (adj) serial
temizlik	cleanliness, cleaning
kuvvetli	strong; powerful
asit	acid
etek	skirt
bıçak	knife
baskın	raid; dominant
basamak	step, stair
torun	grandchild
tabak	plate
ideolojik	ideological
ziyade	rather more; except for
halbuki	but, however, whereas
kahvaltı	breakfast
kimyasal	chemical
kriter	criterion
patron	boss, employer
bulaş	to smudge; to smear; to infect
diyalog	dialogue
komünist	communist
nice	so many
şüphe	doubt, suspicion
buçuk	and a half
zararlı	harmful
ot	weed; grass; herb
felaket	disaster, catastrophe
garanti	guarantee, secure
rica	request
duyu	sense
kaşık	spoon
soğu	to cool
küme	heap, pile, stack
itiraf	confession
psikoloji	psychology
kul	servant (of God)
okuyucu	reader
anneanne	grandmother
aziz	(n) saint (adj) dear, beloved, honored
küreselleş	to become global
gönüllü	volunteer
manzara	scenery, view
aşık	lover; admirer
tutukla	to arrest
şikayet	complaint
kütüphane	library
maliye	state finances
yükseklik	height
ithalat	imports
bilinçli	conscious
slogan	slogan
parla	to shine; to flare
belirti	symptom; sign
havuz	pool
sahil	shore; coast; beach
atmosfer	atmosphere
böcek	bug; insect
simge	symbol
cuma	Friday
enstitü	institute
inat	persistence; stubbornness
şaka	joke
vasıta	means; vehicle
kanaat	opinion
hikmet	wisdom
çabala	to make great effort
zayıfla	to lose weight; to get weak
ser	to spread
kıyasla	(v) to compare (posp) in comparison with, beside
yut	to swallow
ertele	to postpone
kırık	broken
pozitif	positive
okşa	to caress
karışık	mixed
yar	(v) to split (n) beloved; sheer cliff
sin	to pervade; to cower
selam	salute; greetings
dilek	wish
kılıç	sword
şaşkın	confused; silly
bölgesel	regional
şeytan	Satan, the Devil
düzgün	smooth
anında	immediately
depo	storehouse
onay	approval, consent
imam	prayer leader
askerlik	military service
bozukluk	defect; small change
ölçüt	criterion
çıkmaz	dead end, impasse
iptal	cancellation
şeyh	sheikh
yurttaş	citizen
tara	to comb
fakir	poor
direk	pole, mast
mülkiyet	ownership; possession
masraf	expense
yerleşim	settlement
haksızlık	injustice
nedense	for some reason or other
harika	wonderful
estetik	aesthetics
şimdilik	for now, for the time being
sıvı	liquid
karışım	mixture
cenaze	funeral
belirsiz	uncertain
şok	shock
konsey	council
sök	to pull out
gereksiz	unnecessary
mimar	architect
kov	to drive away; to fire
görüşme	interview
rüzgar	wind; breeze
atık	waste, garbage
hayran	admirer, fan
acele	quick
baz	base
epey	(adv) fair, fairly (det) a good deal of
milliyetçilik	nationalism
vadeli	dated
boru	pipe, tube
coşku	enthusiasm
salt	solely; absolute
hatır	sake
profesyonel	professional
hakikat	truth
denk	equal
bez	(n) piece of cloth (v) to get tired
kalıcı	permanent
varsayım	assumption; hypothesis
kahkaha	laughter
general	general
inanılmaz	unbelievable
üzüntü	sorrow, sadness
şef	chief, leader
sıfat	title
yahut	or
aldat	to cheat
finansal	financial
bilet	ticket
yokluk	absence; nonexistence
katılımcı	participant
ırk	race
iğne	needle
kimisi	someone, some people
mevzuat	laws and regulations
tatmin	satisfaction
duruş	posture; stance
katil	murderer
kapitalist	capitalist
imaj	image
dere	stream
cevapla	to answer
odak	focus
izlenim	impression
kuşat	to surround
haksız	unjust
taklit	imitation
pozisyon	position
nitele	to modify; to characterize
gen	gene
finansman	financial resources
sürgün	exile
bal	honey
sırf	solely
sevda	love
fıkra	joke; anecdote
çirkin	ugly
gömlek	shirt
his	feeling
lisans	license; bachelor’s degree
ressam	painter
balkon	balcony
ten	skin
dolaylı	indirect
kanser	cancer
fena	bad; terrible
kısacası	in short
açılış	opening
sürpriz	surprise
yılan	snake
ödev	duty; assignment, homework
kapsamlı	comprehensive
işadamı	businessman
düğme	button
yakınlık	closeness; proximity
surat	face
öğrenim	education; schooling
devret	to transfer
tavuk	hen, chicken
sav	(v) to get rid of (n) claim
bayıl	to faint
basınç	pressure
razı	willing, ready
pembe	pink
kucakla	to hug
gerçekçi	realist
programla	to program
düşüş	fall
av	hunt
komite	committee
durak	bus stop
yoksulluk	poverty
fırtına	storm
müzakere	negotiation
böylelikle	so, in this way
kuyu	well
varsay	to assume
uyuşturucu	drugs
gerilim	tension
kömür	coal
ötürü	because of
senet	voucher
mühendislik	engineering
kas	(n) muscle (v) to strain; to flex
bant	tape
ithal	imported
uyumlu	compatible; harmonious
muhteşem	magnificent
doğuş	birth
yazılım	software
seçmen	voter
sahte	fake
ter	sweat, perspiration
ikili	binary, dual
ör	to knit
olanaksız	impossible
laiklik	secularism
fırın	oven; bakery
hitap	addressing
bar	pub, bar
bozuk	broken, damaged
benzerlik	similarity
kalkış	(v) to try to (n) departure, take off
maruz	exposed to
sanayileş	to become industrialized
tıka	to plug; to block
reel	real
bağışla	to forgive; to donate
cilt	skin; volume
kabullen	to accept
koridor	corridor
becer	to accomplish, to do
liberal	liberal
blok	block
dinsel	religious
belirleyici	characteristic
kariyer	career
ceset	corpse
eşek	donkey
laboratuvar	laboratory
sıçra	to jump
yemin	oath
çeviri	translation
metal	metal
hassas	sensitive
kilometre	kilometer
servet	wealth, fortune
şüphesiz	certain, without doubt
farklılaş	to differentiate, to change
ihraç	exportation
yetersizlik	insufficiency
çorba	soup
kademe	rank, level
ihtiyar	elderly
atom	atom
eğit	to educate; to train
bağımlılık	addiction, dependency
keskin	sharp
meraklı	curious
insanoğlu	human; human being
çarşı	market place
köken	origin
kurumsal	institutional
bürü	to cover up
süper	super
hallet	to handle, to solve
gayrı	other than
mağaza	department store, shop
uzunluk	length
herif	guy; husband
banyo	bathroom
şiddetli	intense, severe
sıyır	to strip off; to peel off
semt	neighborhood
festival	festival
kaptan	captain
kırsal	rural
kısmen	partly
faydalan	to benefit from
divan	divan, sofa; council
telaş	hurry
cinsiyet	gender
işleyiş	procedure
çırp	to scramble, to flap
taraftar	supporter, fan
norm	norm
ısı	heat
tüy	feather, hair
tabiat	nature
önemse	to care about
çil	freckle
istihbarat	intelligence
meşhur	famous; well-known
dolap	cupboard, wardrobe
dışla	to exclude
maden	mine; mineral
moral	mood; morale
popüler	popular
muhabbet	conversation, chat
protokol	ceremonial, protocol
liderlik	leadership
kabar	to swell, to become fluffy
birdenbire	suddenly
vurgu	emphasis
kıta	continent; military detachment
kuruş	kurus
borçlan	to get into debt
halı	rug, carpet
sanık	suspect
yarın	tomorrow
görünüş	appearance
küçücük	tiny
tavan	ceiling
kamyon	truck, lorry
karakol	police station
vazife	duty
set	barrier
yaşlan	to grow old
boşuna	in vain
yorgunluk	fatigue
yanak	cheek
duyarlı	sensitive
hayırlı	good; beneficial
elma	apple
jandarma	gendarme
faydalı	useful
nitelen	to be modified, to be called, to term
cinsellik	sexuality
göçmen	immigrant, refugee
çamaşır	laundry; clothes
beyan	declaration
yükümlülük	liability, obligation
kira	rent
kaçak	(n) fugitive (adj) illegal
şeref	honor
akademik	academic
ayaklan	to rebel
harp	war
uğruna	for the sake of
uzaklık	distance
kurmay	general staff officer (military)
süreli	periodical, periodic
eyalet	state; province
üşü	to feel cold
cumartesi	Saturday
acil	(adj) urgent (n) emergency
cehennem	hell
güvenli	safe, secure
verim	output; productivity
bankacılık	banking
vesile	means
derhal	immediately
kürsü	desk; stand
yanlışlık	error, mistake
farket	to notice, to realize
komik	funny
evre	phase, stage
biyolojik	biological
çürü	to rot, to decay
satıcı	salesman
tarımsal	agricultural
gümüş	silver
talimat	directive; instruction
pamuk	cotton
köle	slave
kirli	dirty; polluted
hatıra	memory
ihanet	betrayal
içten	sincere
şiş	(v) to swell; to inflate (n) skewer; knitting needle
yakıt	fuel
bela	trouble
vade	term, date
bağımlı	dependent; addicted
baraj	dam
eksen	axis
yıldırım	lightning, thunderbolt
lokanta	restaurant
doğruluk	truth; straightness
emperyalizm	imperialism
yolsuzluk	corruption
sınıflandır	to classify
yırt	to tear
meşgul	busy
esnaf	tradesman
özgün	genuine
video	video
yinele	to repeat
mimari	(n) architecture (adj) architectural
yüklü	loaded
plastik	plastic
fare	mouse, rat
işveren	employer
kumaş	cloth, fabric
gol	goal (football)
alem	universe; entertainment
yetişkin	adult, grown-up
çöl	desert
sebze	vegetable
dayak	beating
affet	to forgive
pazarlık	bargain
kıymet	value, worth
protein	protein
zarf	envelope; adverb
armağan	gift, present
haliyle	naturally; consequently
çiftlik	farm
onca	so much
gözet	to consider; to guard
kritik	(n) critique (adj) critical
gezegen	planet
kod	code
bira	beer
başarısızlık	failure
zehir	poison
benlik	ego; personality
resmen	officially
müddet	period
yücel	to become great
efsane	legend
hadise	event, incident
kaliteli	high quality
icra	performance; enforcement
radikal	radical
şahit	witness
yaratıcılık	creativity
iman	faith
esir	captive
aktivite	activity
dalgalan	to fluctuate; to wave
avlu	backyard
gözaltı	custody
torba	bag, sack
imge	image
bilgilen	to be informed
zenginleş	to become wealthy
yanısıra	besides, in addition to
cenk	combat, battle
pantolon	pants
propaganda	propaganda
emanet	security, safekeeping
mesleki	professional
laik	secular
lüks	luxurious
belirsizlik	indefiniteness; uncertainty
atölye	workshop
yaralı	wounded, injured
muamele	treatment
danışman	consultant, adviser
ulaşım	transportation
kanlı	bloody
ilişkili	related to
maksat	purpose, aim
sinirlen	to get angry
gözlük	glasses
kule	tower
vaat	promise
han	inn
arkadaşlık	friendship
peynir	cheese
hafıza	memory
saçma	(adj) ridiculous, absurd (n) buckshot, slug
ittifak	alliance
sembol	symbol
protesto	protest
öncü	pioneer
meğer	to my surprise
sosyalizm	socialism
konak	mansion
ipucu	clue, hint
ani	sudden
materyal	material
soyut	abstract
madem	since, as
eşik	threshold
çukur	pit, hole
dükkan	shop
menfaat	benefit
organik	organic
masum	innocent
tırnak	nail
anlamsız	meaningless
mana	meaning
çiftçi	farmer
fert	person, individual
işsiz	unemployed
hasret	longing
politikacı	politician
kaş	eyebrow
üslup	style
yakında	soon
bilhassa	especially
prim	bonus, premium
giyim	clothing, dressing
terörist	terrorist
borsa	stock exchange
zihniyet	mentality
cemiyet	society
adil	fair
veli	parent of a student
vapur	ship
yuvarlak	circular, round
kıs	to reduce, to lessen
hakaret	insult
hacim	volume
bakkal	grocery
del	to drill
görevlendir	to assign
ajans	agency
anlatı	narration
domates	tomato
mil	mile; shaft
sıklık	frequency
kül	ash
kastet	to mean, to imply
had	limit; extremity
çaresiz	desperate
muhafaza	protection
serp	to sprinkle
kirlilik	pollution
vadi	valley
odaklan	to focus
çamur	mud
hemşire	nurse
macera	adventure
neşe	joy
öğretmenlik	teaching, tutoring
yargıç	judge
mahkum	prisoner
hapishane	prison, jail
irdele	to examine in detail
haz	pleasure, delight
çarpıcı	striking
bağlılık	loyalty, attachment
sadık	loyal
organize	organized
fetih	conquest
buğday	wheat
bahane	excuse
desen	pattern
seyir	course
olgunlaş	to mature
sürücü	driver
röportaj	interview
ruhsal	psychological
emret	to order, to command
sınıfla	to classify
gübre	fertilizer
tanıtım	publicity
ihlal	transgression, violation
mülk	real estate
koç	ram
kese	small bag; pouch
negatif	negative
hakikaten	really, truly
rakı	raki
genetik	(n) genetics (adj) genetic
iade	return
zorlaş	to get difficult
karış	hand span
gerginlik	tension
illa	in any case
bari	at least
biç	to cut into shape, to harvest
aptal	stupid, fool
kaset	cassette
milliyetçi	(adj) nationalistic (n) nationalist
teorik	theoretical
fatura	invoice, bill
reaksiyon	reaction
noktala	to end; to punctuate
teşebbüs	attempt
oyla	to vote
coğrafi	geographical
alkışla	to applaud
lamba	lamp
tokat	slap
zihinsel	mental
af	amnesty, forgiveness
şapka	hat
yalvar	to beg
indirge	to degrade
yaratık	creature, alien
ortaokul	middle school
idam	capital punishment
tarikat	sect, religious group
kirala	to rent
metot	method
posta	mail, post
arı	bee
çiğne	to chew
insani	humane, humanely
aktör	actor
yavaşla	to slow down
kamusal	public
sonbahar	fall, autumn
virüs	virus
göbek	navel, belly
bağlantılı	connected
borçlu	debtor, indebted
doğrul	to straighten out
koalisyon	coalition
yanaş	to draw near
dişi	female
ırmak	river
çadır	tent
stres	stress
küfür	swearing, cursing
samimi	sincere
minik	tiny
serüven	adventure
yedek	spare
evrim	evolution
kızıl	crimson red
damga	stamp
tüccar	merchant
bütünüyle	completely
prens	prince
ibadet	worship
tarihçi	historian
kasa	safe, deposit
koruyucu	protective
nöbet	shift
erdem	virtue
acımasız	merciless
süreklilik	continuity
köşk	pavilion, mansion
düzlem	plane (geometry)
haberleş	to communicate
yumuşa	to soften
keşif	discovery
düşmanlık	hostility
alkış	applause
hırs	ambition
hayranlık	admiration
amir	chief
algı	perception
burjuva	bourgeois
mecbur	obliged
vatandaşlık	citizenship
raf	shelf
platform	platform
duyarlılık	sensitivity
oksijen	oxygen
örtülü	covered
tahsil	education
önder	leader
rehber	guide
söyleşi	conversation, interview
takvim	calendar
ilkel	primitive
depola	to store
taktik	tactics
muhtaç	in need of, needy
sözlü	oral
yeraltı	underground
direnç	resistance
mucize	miracle
tütün	tobacco
delil	evidence
tesir	effect, influence
sakınca	drawback, inconvenience
donat	to equip; to decorate
kuzu	lamb
sentez	synthesis
icat	invention
damat	groom, son-in-law
yasla	to lean
kesit	cross section
sevk	shipping
küçümse	to look down on
zeytin	olive
kıskan	to envy
parasal	monetary
nimet	godsend, blessing
vekil	representative; proxy
yokla	to inspect
hırsız	thief, burglar
görsel	visual
numaralı	numbered
otomatik	automatic
zil	bell
sinyal	signal
heyecanlı	exciting, nervous
mağara	cave
oruç	fasting
nitelikli	high quality
istatistik	statistics
tipik	typical
muhtar	mukhtar, neighborhood governor
üzüm	grape
güncel	current
beşinci	fifth
ayet	verse of the Koran
hayali	imaginary
panik	panic
sezon	season
objektif	objective, unbiased
ipek	silk
ahlaki	ethical, moral
iktisat	economics
misyon	mission
mor	purple, violet
haykır	to shout
rektör	rector
finans	finance
sevimli	cute; lovely
teşhis	diagnosis
dehşet	terror; horror
çene	jaw
tüp	cylinder; tube
yenilgi	defeat
yapay	artificial, imitation
eğri	curved, crooked
değin	up to, until
kıpırda	to move
filozof	philosopher
muhtemelen	probably
leke	stain, spot
grev	strike (of workers)
sakal	beard
bakteri	bacterium
bık	to get bored by or with
terket	to abandon
ceket	jacket
direniş	resistance, opposition
imalat	manufacture
indirim	discount
kirlen	to get dirty, to become polluted
çete	gang
olumsuzluk	negativity
kadeh	glass, goblet
oturum	session
has	peculiar
kin	grudge
abart	to exaggerate
pis	dirty
çoban	shepherd
gri	gray
espri	humor, joke
sarhoş	drunk
selamla	to greet, to salute
babaanne	grandmother (father’s mother)
aniden	suddenly
artı	plus
ün	fame, reputation
zar	dice; membrane
çeşitlilik	variety, diversity
öbürü	the other one
kararlaştır	to be decided, to be agreed on
türe	to derive, to come into existence
çeyrek	(a) quarter (of)
sözde	allegedly
muhtemel	probable, likely
odun	firewood
ödenek	allocation
uydu	satellite
vaka	case; event
genişlik	width
izah	explanation
köklü	essential, long-established
tedirgin	uneasy, worried
şirin	sweet, charming
içişleri	internal affairs
çılgın	mad, crazy, wild
grafik	graph, diagram
tuzak	trap, snare
hoşgörü	tolerance
haberdar	informed of
müsaade	permission
kıvır	to curl
pilot	pilot
dayanak	base, foundation
olağan	usual, ordinary
gündelik	daily
bük	to bend
sade	simple, plain
kompleks	complex
hamle	move
işaretle	to mark
heyecanlan	to get excited
dize	line (of poetry)
unvan	title
büyükşehir	metropolis
okyanus	ocean
doruk	summit, peak
sütun	column
federasyon	federation
bileşen	component
muhakkak	certainly, undoubtedly
asgari	minimum
ofis	office
kaplı	covered, coated
öncelikli	primary, priority
dolaşım	circulation
ürk	to wince, to flinch
içecek	beverage, drink
ova	plain
birçoğu	many of them
elverişli	suitable, convenient
hakem	referee
muhatap	interlocutor
tüfek	rifle, gun
özerklik	autonomy
patates	potato
mezarlık	graveyard, cemetery
vaziyet	condition, state
istem	will, volition
denklem	equation
düşle	to imagine
buluş	invention, discovery
terbiye	good manners, manners
safha	phase, stage
fısılda	to whisper
nesnel	objective
havalan	to be ventilated
medeni	civilized
bisiklet	bicycle
katsayı	coefficient
belgele	to document
yepyeni	brand new
orijinal	original
şaşırtıcı	surprising
donanım	hardware; equipment
ölçüm	measure
dinleyici	listener, audience
doz	dose
körfez	gulf, bay
utanç	shame
beton	concrete
alçak	low
bürokrasi	bureaucracy
emeklilik	retirement
yakınlaş	to become closer
kısal	to become shorter, to shrink
cisim	substance, matter, object
sipariş	order
gereklilik	necessity, need
yakışıklı	handsome
saklı	hidden
katliam	massacre
perspektif	perspective
sözlük	dictionary
hareketli	active
taşıma	transportation
sayısız	countless, innumerable
burjuvazi	bourgeoisie
dedikodu	gossip
bambaşka	quite different
literatür	literature
detay	detail
beyefendi	gentleman
tazminat	compensation
kaldırım	pavement
avcı	hunter
kopya	copy
garson	waiter, waitress
geçit	gateway, passage
yabancılaş	to become alienated
uçurum	cliff
kına	(v) to condemn (n) henna
futbolcu	football player
tünel	tunnel
talebe	student, pupil
muayene	examination
yuvarla	to roll
kıyamet	doomsday
istisna	exception
avla	to hunt
ilköğretim	primary education
levha	plate
çevrele	to surround, to encircle
bekçi	watchman, guard
öğreti	doctrine, tenets
öncülük	leadership
lig	league
imar	development
uçuş	flight
solcu	leftist
muhabir	reporter
mum	candle
şenlik	festival
şanslı	lucky
çizelge	table
